DicTerm,DAV,IAV,SV
abandon,,X,
abandoned,,X,
abandoning,,X,
abandons,,X,
abhor,,,X
abhorred,,,X
abhorring,,,X
abhors,,,X
absorb,X,,
absorbed,X,,
absorbing,X,,
absorbs,X,,
abuse,,X,
abused,,X,
abuses,,X,
abusing,,X,
accede,,X,
acceded,,X,
accedes,,X,
acceding,,X,
accelerate,X,,
accelerated,X,,
accelerates,X,,
accelerating,X,,
accentuate,,X,
accentuated,,X,
accentuates,,X,
accentuating,,X,
accept,,X,
accepted,,X,
accepting,,X,
accepts,,X,
accommodate,,X,
accommodated,,X,
accommodates,,X,
accommodating,,X,
accompanied,X,,
accompanies,X,,
accompany,X,,
accompanying,X,,
accomplish,,X,
accomplished,,X,
accomplishes,,X,
accomplishing,,X,
accord,,X,
accorded,,X,
according,,X,
accords,,X,
account,,X,
accounted,,X,
accounting,,X,
accounts,,X,
accumulate,X,,
accumulated,X,,
accumulates,X,,
accumulating,X,,
accuse,,X,
accused,,X,
accuses,,X,
accusing,,X,
accustom,,X,
accustomed,,X,
accustoming,,X,
accustoms,,X,
ache,,,X
ached,,,X
aches,,,X
achieve,,X,
achieved,,X,
achieves,,X,
achieving,,X,
aching,,,X
acknowledge,,X,
acknowledged,,X,
acknowledges,,X,
acknowledging,,X,
acquaint,,X,
acquainted,,X,
acquainting,,X,
acquaints,,X,
acquire,X,,
acquired,X,,
acquires,X,,
acquiring,X,,
act,X,,
acted,X,,
acting,X,,
acts,X,,
adapt,,X,
adapted,,X,
adapting,,X,
adapts,,X,
add,X,,
added,X,,
addict,,X,
addicted,,X,
addicting,,X,
addicts,,X,
adding,X,,
address,,X,
addressed,,X,
addresses,,X,
addressing,,X,
adds,X,,
adhere,,X,
adhered,,X,
adheres,,X,
adhering,,X,
adjusts,,X,
administer,,X,
admire,,,X
admired,,,X
admires,,,X
admiring,,,X
admit,,X,
admits,,X,
admitted,,X,
admitting,X,,
admonish,,X,
adopt,,X,
adopting,,X,
adopts,,X,
adore,,,X
adored,,,X
adores,,,X
adoring,,,X
adorn,,X,
adulterate,,X,
advance,,X,
advanced,,X,
advances,,X,
advancing,,X,
advise,,X,
advised,,X,
advises,,X,
advising,,X,
advocate,,X,
affect,,X,
affected,,X,
affecting,,X,
affects,,X,
affiliate,,X,
affirm,,X,
afflict,,X,
afford,,X,
afforded,,X,
affording,,X,
affords,,X,
age,,X,
aged,,X,
ages,,X,
aggravate,,X,
aging,,X,
agitate,,X,
agonize,,,X
agonized,,,X
agonizes,,,X
agonizing,,,X
agree,,X,
agreed,,X,
agreeing,,X,
agrees,,X,
aid,,X,
aided,,X,
aiding,,X,
aids,,X,
aim,X,,
aimed,X,,
aiming,X,,
aims,X,,
air,,X,
alarm,,X,
alert,,X,
alerted,,X,
alerting,,X,
alerts,,X,
alienate,,X,
alight,X,,
alighted,X,,
alighting,X,,
alights,X,,
allege,,X,
alleviate,,X,
allied,,X,
allot,,X,
allow,,X,
allowed,,X,
allowing,,X,
allows,,X,
ally,,X,
along,,X,
alter,,X,
altering,,X,
alternate,,X,
alters,,X,
amaze,,,X
amazed,,,X
amazes,,,X
amazing,,,X
amble,X,,
ambled,X,,
ambles,X,,
ambling,X,,
ambush,,X,
ameliorate,,X,
amend,,X,
amended,,X,
amending,,X,
amends,,X,
amount,,X,
amplified,X,,
amplifies,X,,
amplify,X,,
amplifying,X,,
amputate,,X,
amuse,,,X
amused,,,X
amuses,,,X
amusing,,,X
analyze,,X,
analyzed,,X,
analyzes,,X,
analyzing,,X,
anchor,,X,
anger,,,X
angered,,,X
angering,,,X
angers,,,X
annihilate,,X,
announce,X,,
announced,X,,
announces,X,,
announcing,X,,
annoy,,X,
annoyed,,X,
annoying,,X,
annoys,,X,
answer,,X,
answered,,X,
answering,,X,
answers,,X,
